Designator,Footprint,Quantity,Value,LCSC Part #
"C201, C202, C203, C301, C302, C303, C304, C305, C306, C309, C310",0402,11,100n,C1525
"C307, C308",0805,2,18p,C1797
"C311, C312",0603,2,10u,
C401,0603,1,10u,C19702
"D201, D202",D_SMA,2,SS34,
"D203, D204, D205, D206, D302",Texas_USON-6_1x1.45mm_P0.5mm_SMD,5,PRTR5V0U2X,C2937001
"D207, D301",0805,2,green,C2297
D208,0805,1,green,C2295
"J101, J102, J103, J104",USB231ARY,4,USB231ARY,C720525
J301,USB_C_Receptacle_Palconn_UTC16-G,1,USB_C_Receptacle_USB2.0,C165948
R201,0805,1,680,
"R202, R203, R301",0805,3,4K7,
"R302, R303",0402,2,5.1K,
"R304, R305, R306, R307, R308, R310, R311",0402,7,100k,
R309,0402,1,12k,
"R312, R313, R314, R315",0402,4,10k,
U201,TPS259474LRPWR,1,TPS259474LRPWR,
U301,SOT-223-3_TabPin2,1,AMS1117-3.3,C6186
U302,Texas_RHH0036C_VQFN-36-1EP_6x6mm_P0.5mm_EP4.4x4.4mm_ThermalVias,1,USB2514B_Bi,C16251
Y301,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,24MHz,C70590
