Designator,Mid X,Mid Y,Rotation,Layer
C201,-16.039254,15.851563,270.0,top
C202,-4.914054,12.498763,0.0,top
C203,-4.914054,15.445163,0.0,top
C216,14.740295,4.409963,0.0,top
C301,-32.761654,10.085363,180.0,top
C302,-22.443454,11.202963,0.0,top
C303,-32.355254,15.724163,90.0,top
C304,-26.699654,18.562163,90.0,top
C305,-30.001654,20.644963,180.0,top
C306,-31.424054,20.695763,90.0,top
C307,-37.009054,10.002413,270.0,top
C308,-43.350554,10.039963,90.0,top
C309,-32.761654,12.168163,180.0,top
C310,-22.443454,13.184163,0.0,top
C311,-66.260054,6.829963,270.0,top
C312,-66.229254,3.654963,270.0,top
C401,-68.057054,18.132963,270.0,top
D201,-61.447054,5.923963,0.0,top
D202,-61.447054,9.479963,0.0,top
D203,-58.726054,-0.536037,270.0,top
D204,-38.787054,-0.536037,270.0,top
D205,-16.181054,-0.536037,270.0,top
D206,3.249946,-0.490037,270.0,top
D207,-9.887054,8.322463,0.0,top
D208,-9.867054,6.212463,0.0,top
D301,-61.194054,18.139963,180.0,top
D302,-67.800454,14.116513,180.0,top
J101,-57.157054,-5.785037,0.0,top
J102,-37.490387,-5.785037,0.0,top
J103,-17.823721,-5.785037,0.0,top
J104,1.842946,-5.785037,0.0,top
J201,-71.457054,26.601963,90.0,top
J203,-71.311054,39.772463,270.0,top
J301,-73.257054,14.293513,270.0,top
R201,-5.676054,13.971963,180.0,top
R202,-5.827054,8.322463,0.0,top
R203,-5.847054,6.182463,0.0,top
R301,-64.877054,18.139963,180.0,top
R302,-68.587854,15.567563,0.0,top
R303,-67.797054,11.859963,0.0,top
R304,-27.969654,20.644963,0.0,top
R305,-32.440054,20.695763,90.0,top
R306,-30.230254,18.028763,90.0,top
R307,-27.986454,18.010163,270.0,top
R308,-25.683654,18.562163,270.0,top
R309,-32.761654,11.101363,0.0,top
R310,-31.246254,18.028763,270.0,top
R311,-28.951654,18.010163,270.0,top
R312,-22.429454,12.186763,180.0,top
R313,-22.398454,14.606563,180.0,top
R314,-23.651654,18.562163,270.0,top
R315,-24.667654,18.562163,270.0,top
U201,-12.407054,13.209963,0.0,top
U301,-71.680054,4.670963,180.0,top
U302,-27.935654,13.234963,90.0,top
Y301,-40.200954,10.039963,180.0,top
